CuChun,JingChun,ErJiaMi,CuSuan,YiChangYiErChun,ErChangYiErChun,YeTiChanPin,YiJing,FaDianLiang,YiQiYouXiaoQi,ErQiYouXiaoQi,YiErChunQingZuFen,YiErChunZhongZuFen,RanMei
1413,1491,0,1393,0,559,182,28,40,322,200,39,7,2689
1392,1502,0,1391,0,556,177,29,41,322,197,39,7,2634
1398,1501,0,1390,0,556,186,29,40,324,199,39,6,2657
1400,1525,0,1410,0,558,183,28,38,319,201,30,6,2931
1374,1518,0,1430,0,556,168,28,38,318,197,39,7,2956
1372,1495,0,1457,0,562,180,29,42,315,194,38,7,2816
1363,1486,0,1467,0,557,200,28,39,319,194,41,6,2785
1353,1507,0,1469,0,561,192,29,27,316,195,49,6,2714
1431,1518,0,1468,0,557,173,28,16,327,197,41,6,2883
1460,1523,0,1468,0,555,172,29,3,325,194,41,6,2677
1446,1520,0,1470,0,551,180,29,2,314,193,40,6,2710
1470,1511,0,1465,0,542,171,28,32,329,195,36,6,2889
1466,1509,0,1471,0,524,178,28,26,326,198,36,6,2891
1418,1391,0,1467,0,529,176,29,17,321,197,38,7,2720
1409,1079,0,1453,0,532,191,28,30,324,195,36,6,2469
1429,1498,0,1426,0,532,180,29,34,326,196,36,6,2617
1387,1475,0,1425,0,536,186,28,39,324,191,37,6,2786
1392,1462,0,1427,0,534,163,28,44,324,193,37,6,2737
1399,1467,0,1429,0,533,174,28,42,324,194,37,6,2768
1381,1473,0,1476,0,537,179,31,38,324,194,39,6,2673
1354,1472,0,1500,0,533,190,29,40,324,191,50,6,2651
1338,1471,0,1497,0,533,193,28,38,324,191,59,6,2623
1356,1467,0,1500,0,533,181,28,41,324,189,53,6,2599
1571,1462,0,1488,0,342,203,28,41,324,197,36,6,2648
1423,1448,0,1483,0,465,209,29,42,324,196,50,6,2729
1376,1401,0,1482,0,529,190,28,43,324,192,52,6,2701
1378,1451,0,1483,0,530,196,28,43,324,194,52,6,2682
1364,1401,0,1483,0,532,188,28,41,324,195,51,6,2859
1389,1432,0,1481,0,529,197,29,33,324,194,44,6,3163
1376,1280,0,1481,0,529,198,28,43,317,193,37,7,2768
1393,1242,152,1480,0,526,196,29,39,318,196,38,7,2757
1438,1306,515,1483,0,530,158,28,43,321,197,42,7,2838
1431,1222,433,1485,0,526,192,28,39,321,195,35,6,2809
1451,1243,272,1482,0,526,201,28,39,322,195,36,6,2726
1428,1241,267,1419,0,525,217,29,42,320,190,35,6,2908
1451,978,267,1399,0,519,210,29,42,322,192,37,6,2772
1454,0,265,1392,0,527,201,28,42,323,193,35,6,2783
1453,0,267,1397,0,528,192,28,42,321,192,35,7,3024
1442,0,273,1399,0,526,184,29,41,320,192,35,7,2818
1446,0,266,1413,0,527,181,29,42,322,193,36,7,2764
1456,0,266,1425,0,522,196,29,42,321,195,35,7,2744
1460,0,267,1420,0,539,181,29,39,321,194,35,7,2878
1412,0,257,1427,0,527,193,29,36,320,190,36,7,2758
1403,0,249,1425,0,528,192,29,42,319,192,35,7,2810
1360,0,248,1422,0,528,188,28,43,317,190,38,6,2715
1391,1042,248,1424,0,529,188,28,42,318,189,37,6,2787
1377,1227,248,1421,0,529,176,29,40,316,188,36,6,2674
1393,1288,249,1407,0,525,182,29,42,316,191,37,7,2636
1402,1305,248,1350,0,526,176,28,43,318,189,36,8,2524
1434,1337,247,1348,0,527,180,28,33,321,191,35,8,2588
1443,1336,82,1353,0,524,191,28,40,323,187,36,8,2561
1481,1344,0,1353,0,511,176,30,41,323,192,35,8,2615
1473,1346,0,1352,0,540,197,29,40,322,192,39,8,2686
1468,1351,0,1388,0,517,162,28,47,323,191,41,10,2527
1425,1339,0,1408,0,525,179,28,50,320,190,38,8,2822
1455,1097,0,1454,0,524,191,28,52,323,193,37,6,2723
1432,1337,0,1456,0,527,193,28,40,320,189,36,6,2770
1422,1151,0,1457,0,524,197,28,43,321,189,36,9,2684
1428,1345,0,1456,0,526,176,29,41,321,190,45,9,2769
1447,1357,0,1449,0,520,193,30,41,322,191,39,9,2721
1427,1410,0,1423,0,528,193,29,42,321,190,37,7,2634
1434,1420,0,1424,0,529,184,29,48,321,191,37,7,2676
1457,1405,0,1425,0,525,173,28,50,323,189,37,7,2680
1439,1409,0,1426,0,526,186,28,49,321,186,40,7,2860
1416,1245,0,1256,0,385,190,28,48,319,175,38,7,3027
1465,1340,0,1406,0,466,172,20,48,322,178,44,7,2766
1439,1299,0,1424,0,508,166,30,47,324,182,38,6,2759
1453,1352,0,1416,0,529,192,28,49,325,191,37,7,2855
1486,1364,0,1425,0,525,173,28,39,323,199,36,7,2794
1453,1373,0,1398,0,527,189,29,46,325,193,32,7,2956
1476,1361,0,1349,0,530,194,28,48,329,192,36,6,2713
1472,1357,0,1348,0,529,173,28,48,327,193,37,6,2818
1482,1345,0,1350,0,529,194,28,47,326,193,37,6,3090
1487,1392,0,1349,0,528,168,28,47,326,193,38,6,3104
1466,1415,0,1414,0,527,185,28,47,326,191,38,6,2775
1553,626,0,1333,0,226,202,28,18,307,179,19,3,2316
1712,0,0,1395,0,0,167,30,0,289,179,0,0,1945
1586,948,0,1416,0,107,166,28,18,315,189,0,0,2525
1434,1390,0,1428,0,533,181,28,44,320,194,78,7,2869
1436,1407,0,1427,0,522,167,28,48,322,193,45,7,2811
1397,1408,0,1430,0,525,184,28,47,315,192,41,7,2724
1438,1393,0,1429,0,528,168,29,49,322,195,38,7,2696
1444,1399,0,1427,0,522,179,29,51,320,193,39,8,2731
1481,1402,0,1426,0,527,182,28,50,321,199,41,8,2795
1428,1202,0,1425,0,524,186,28,50,317,194,36,8,2829
1457,1394,0,1425,0,524,188,28,45,323,193,40,8,2985
1391,1265,0,1426,0,524,184,30,43,318,189,38,7,2768
1416,1405,0,1397,0,525,175,28,49,321,193,35,7,2774
1474,1416,0,1347,0,526,198,28,45,327,194,40,7,2952
1426,1245,0,1326,0,527,191,30,32,321,188,37,7,3007
1422,1164,0,1350,0,525,181,28,24,322,190,41,7,3005
1318,1258,0,1351,0,518,193,28,29,313,181,40,6,3059
1343,1301,0,1382,0,525,191,28,20,315,181,36,6,2786
1443,1262,0,1400,0,531,212,28,12,321,190,42,6,2689
1404,1332,0,1399,0,528,221,28,8,319,191,38,6,2551
1408,1402,0,1397,0,527,211,28,17,321,189,37,6,2620
1417,1428,0,1397,0,526,218,29,17,326,187,38,6,2670
1388,1421,0,1385,0,531,221,28,12,327,184,39,6,2605
1369,1408,0,1370,0,530,210,28,15,320,188,38,6,2700
1377,1398,0,1367,0,527,202,28,13,319,189,37,6,2689
1395,1402,0,1365,0,527,220,28,15,323,189,40,6,2668
1405,1400,0,1360,0,527,221,29,17,324,187,36,6,2656
1398,1397,0,1356,0,525,226,28,17,325,185,39,6,2737
1396,1180,0,1353,0,523,224,28,22,326,186,40,6,2953
1381,1337,0,1327,0,462,208,24,26,310,188,37,6,2809
1459,1392,0,1334,0,532,220,27,38,331,190,39,6,2877
1405,1397,0,1350,0,522,221,15,28,317,191,39,6,2768
