粗醇(t),精醇(t),二甲醚(t),醋酸(t),一厂乙二醇(t),二厂乙二醇(t),液体产品(t),乙腈(t),发电量(万度),一期有效气(万Nm3),二期有效气(万Nm3),乙二醇轻组分(t),乙二醇重组分(t),燃煤(t),一期原煤(t),二期原煤(t),下网电量(万kwh),一期用电量(万度),二期用电量(万度),预脱盐水(t),软化水(t),市政污水处理量(m3/d),新城提升泵供水(m3/d),一期酸脱年耗醇,二期酸脱年耗醇
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,6,0,0,0,0,0,438,0,0,23,6.3,17.2,4342,44718,1336,7700,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,433,0,0,25,6.4,18.1,2426,52730,1726,8801,0,0
0,0,0,0,0,0,0,8,0,0,0,0,0,432,0,0,24,6.1,17.7,1248,41558,2104,7970,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,442,0,0,24,6.2,17.8,5028,37942,1803,8095,0,0
0,0,0,0,0,0,0,9,0,0,0,0,0,449,0,0,25,6.5,18.1,3232,49497,2388,9805,0,0
0,0,0,0,0,0,0,19,0,0,0,0,0,428,0,0,25,6.8,18.2,0,46278,2556,10451,0,0
0,0,0,0,0,0,0,19,0,0,0,0,0,402,0,0,27,6.8,20,2169,51424,2483,10386,0,0
0,0,0,0,0,0,0,15,0,0,0,0,0,410,0,0,28,6.7,21,3427,43515,2565,10025,0,0
0,0,0,0,0,0,0,17,0,0,0,0,0,652,0,0,45,8.1,36.6,10622,40413,2401,10277,0,0
0,0,0,0,0,0,0,19,1,0,0,0,0,1029,0,0,58,9.4,48.8,13058,31526,2536,10249,0,0
0,0,0,0,0,0,0,23,0,0,0,0,0,1121,0,0,61,11,49.9,7596,44850,2567,11406,0,0
0,0,72,0,0,0,67,29,0,0,0,0,0,1305,0,0,74,17.3,56.5,7787,45968,2806,9984,0,0
0,0,335,0,0,0,118,25,0,0,25,0,0,1701,0,279,98,26.9,70.9,15266,38510,3018,10009,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
581,0,434,144,0,0,75,29,0,0,271,0,0,1764,0,1998,131,39.8,91.3,15876,28011,2865,10031,0,0
1216,0,583,714,0,0,99,33,0,0,340,0,0,1529,0,2354,132,46.1,85.8,18326,31340,0,0,0,0
1173,0,589,1248,0,0,93,33,0,0,345,0,0,1697,0,2333,134,45.6,88.3,16339,30592,1809,10117,0,0
1196,0,617,1481,0,0,85,28,0,0,340,0,0,1684,0,2367,134,44.5,89.1,16229,30756,1346,10666,0,0
1216,0,645,1476,0,0,88,25,0,0,349,0,0,1619,0,2397,134,44.9,89.3,16773,36512,1801,11364,0,0
1215,0,649,1491,0,0,65,29,0,0,348,0,0,1709,9,2387,132,42.6,89.3,15091,34400,992,10615,0,0
1221,0,403,1501,0,0,80,33,0,0,357,0,0,1515,0,2350,130,41.8,87.9,12341,26100,1193,9467,0,0
1241,136,269,1492,0,0,89,31,0,0,357,0,0,1551,0,2337,131,41.7,89.5,14087,22000,1313,8379,0,0
1259,1009,262,1463,0,0,80,32,0,0,360,0,0,1650,0,2381,133,43.4,89.9,17680,30250,1453,8473,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
1079,1025,341,1499,0,0,118,31,0,0,326,0,0,1563,0,2160,133,42.8,89.8,16012,35879,1535,9465,0,0
1092,1041,341,1503,0,0,110,32,0,0,326,0,0,1576,0,2133,133,43.2,90.2,15555,31762,1264,9403,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1114,876,295,1527,0,0,102,32,0,0,333,0,0,1510,0,2171,134,45.1,89.2,16255,39778,801,10343,0,0
1179,796,282,1531,0,0,69,28,0,0,346,0,0,1466,0,2246,131,45.2,86.3,15186,34792,1190,8082,0,0
1248,788,395,1522,0,0,60,28,0,0,361,0,0,1442,0,2391,133,45.7,86.8,15503,39174,1318,11251,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
1331,754,313,1438,0,0,69,27,0,0,371,0,0,1583,0,2406,135,46.6,88,17230,32666,2093,11338,124.8,35.11
1344,825,365,1499,0,0,68,28,0,0,374,0,0,1595,0,2375,135,46.9,87.8,16311,36132,2146,11278,124.8,35.11
1354,864,292,1503,0,0,64,28,0,0,373,0,0,1712,0,2401,132,46.4,85.9,13959,31583,2112,11930,124.8,175
1361,922,261,1498,0,0,51,26,0,0,374,0,0,1593,0,2400,133,46.9,86.6,15579,33130,2357,11112,124.8,175
1356,915,263,1503,0,0,54,27,0,0,373,0,0,1617,0,2390,133,46.6,86.7,16231,44303,2393,10591,124.8,175
1329,907,264,1498,0,0,50,27,0,0,368,0,0,1622,0,2402,130,44,86.4,14171,36506,2361,8225,124.8,175
1351,895,263,1503,0,0,55,24,0,0,369,0,0,1659,0,2393,130,43.8,86.2,15892,35907,3905,7727,124.8,175
1330,903,263,1498,0,0,51,26,0,0,367,0,0,1604,0,2313,130,43.6,86.3,14523,38437,2429,7125,124.8,175
1349,920,262,1503,0,0,53,28,0,0,371,0,0,1526,0,2339,130,44.1,86.1,13348,48441,2501,7199,124.8,175
1377,864,264,1501,0,0,58,28,0,0,374,0,0,1603,0,2316,131,44.3,86.5,15495,37915,2619,7368,124.8,175
1371,911,262,1504,0,0,78,28,0,0,375,0,0,1676,0,2331,128,42.7,85.5,12676,43021,2849,7340,124.8,175
1427,899,262,1503,0,0,74,28,0,0,386,0,0,1665,0,2324,130,43.5,86.4,14951,38101,2876,7477,124.8,175
1421,907,264,1502,0,0,80,28,0,0,387,0,0,1629,0,2268,129,42.9,86.3,13048,35084,2889,7294,124.8,175
1366,894,263,1503,0,0,77,29,0,0,374,0,0,1621,0,2247,131,43.3,87.5,15566,39735,2927,7277,124.8,175
1361,889,263,1500,0,0,71,28,0,0,377,0,0,1602,0,2301,130,44.1,86.2,15508,38918,2661,7568,124.8,175
1443,899,261,1500,0,0,77,28,0,0,389,0,0,1560,0,2236,130,44,86.2,15376,38917,2920,7075,124.8,175
1375,883,263,1505,0,0,104,28,0,0,377,0,0,1524,0,2274,131,43.8,87.2,15277,39995,2976,7416,124.8,175
1322,900,262,1502,0,0,101,28,0,0,370,0,0,1421,0,2368,130,43.8,86.3,15316,41743,2689,7199,124.8,175
1312,901,258,1503,0,0,115,28,0,0,367,0,0,1438,0,2373,129,42.8,86.4,13908,41519,3364,8104,124.8,175
1317,892,259,1505,0,0,107,28,0,0,367,0,0,1380,0,2396,129,42.2,86.8,14198,32890,3490,7872,124.8,175
1304,916,259,1503,0,0,103,28,0,0,362,0,0,1435,0,2398,127,41.1,85.7,14288,32690,3418,7824,124.8,175
1342,910,261,1498,0,0,100,18,0,0,370,0,0,1511,0,2347,127,42.4,84.3,14951,33857,3683,8004,124.8,175
1325,897,275,1501,0,0,85,0,0,0,370,0,0,1510,0,2408,125,42.1,83.2,13200,35160,3662,8026,124.8,175
1341,896,269,1502,0,0,81,0,0,0,368,0,0,1709,0,2402,126,41.8,83.8,13581,37316,3561,7851,124.8,175
1342,887,267,1502,0,0,82,0,0,0,372,0,0,1581,0,2398,126,42.4,83.4,14054,35976,3350,8091,124.8,175
1356,896,267,1498,0,0,93,0,0,0,377,0,0,1568,0,2412,126,42.7,83.2,14840,34961,3506,8058,124.8,175
1360,902,266,1503,0,0,75,0,0,0,381,0,0,1553,0,2352,125,42.5,82.5,12942,36668,3579,7948,185.8,301.43
1333,915,265,1475,0,0,85,0,0,0,370,0,0,1477,0,2325,125,41.7,83.7,15076,40935,3685,7885,185.8,301.43
1318,905,263,1463,0,0,85,0,0,0,371,0,0,1436,0,2342,124,41.1,82.6,12424,35016,3746,8220,185.8,301.43
1328,895,265,1501,0,0,90,0,0,0,373,0,0,1427,0,2316,124,42.1,81.8,14153,43744,3829,8006,185.8,301.43
1336,857,266,1537,0,0,75,0,0,0,373,0,0,1412,0,2319,126,43,83.1,13250,41405,3768,7799,185.8,301.43
1330,865,265,1569,0,0,79,15,0,0,372,0,0,1568,0,2325,129,42.6,85.9,14440,40635,3768,7689,185.8,301.43
1355,904,264,1573,0,0,67,18,0,0,378,0,0,1599,0,2335,129,42.8,86.3,14577,41305,3274,6539,185.8,301.43
1363,955,266,1575,0,0,66,17,0,0,377,0,0,1591,0,2321,127,42.9,84.5,12129,42393,3749,6924,185.8,301.43
1253,789,266,1420,0,0,72,27,0,0,369,0,0,1661,0,2155,126,43,83.4,14075,42454,3702,6923,185.8,301.43
686,44,267,391,0,0,76,27,0,0,286,0,0,1590,0,1770,118,35.4,82.6,11816,38514,3809,6990,185.8,301.43
1393,623,265,1453,0,0,54,27,0,0,382,0,0,1602,0,2276,129,45.3,83.3,19089,39282,2047,5637,185.8,301.43
1388,601,253,1566,0,0,55,25,0,0,385,0,0,1582,0,2310,126,43.8,81.9,16410,36481,3053,5726,185.8,301.43
1405,921,255,1574,0,0,48,26,0,0,386,0,0,1601,0,2285,125,43.4,82.1,15260,28958,3035,5695,185.8,301.43
1395,1098,255,1570,0,0,48,26,0,0,384,0,0,1650,0,2292,122,44.2,78.3,13739,41761,3380,6320,185.8,301.43
1341,1098,254,1569,0,0,68,25,0,0,381,0,0,1669,0,2337,122,43.9,78.4,13405,40791,2831,5211,185.8,301.43
1350,1061,251,1554,0,0,66,25,0,0,382,0,0,1622,0,2373,123,43.7,79.3,14164,40535,2883,5780,185.8,301.43
1395,1076,250,1555,0,0,72,26,0,0,387,0,0,1454,0,2339,129,44.1,84.7,13138,40200,3006,5427,185.8,301.43
1390,1096,251,1563,0,0,60,25,0,0,385,0,0,1454,0,2300,127,43.3,83.9,14938,33369,3427,5542,185.8,301.43
1404,1094,254,1573,0,0,62,25,0,0,388,0,0,1577,0,2300,127,43.4,84,14964,34716,3294,6052,185.8,301.43
1409,1097,252,1572,0,0,58,25,0,0,386,0,0,1579,0,2317,127,43.1,84.1,14493,33004,3801,6560,185.8,301.43
1425,1086,254,1569,0,0,55,24,0,0,391,0,0,1532,0,2333,127,43.1,83.7,14217,33929,3598,6164,185.8,301.43
1449,1086,254,1571,0,0,51,25,0,0,394,0,0,1540,0,2325,128,43.6,84.1,13372,39000,3680,6200,185.8,301.43
1459,1069,255,1563,0,0,60,24,0,0,400,0,0,1667,0,2314,128,43.6,84.9,12602,41185,3669,6002,185.8,301.43
1443,1036,256,1570,0,0,63,24,0,0,397,0,0,1608,0,2334,129,43.3,85.7,14436,37885,3574,5924,185.8,301.43
1443,1034,255,1570,0,0,66,24,0,0,402,0,0,1379,0,2339,129,43,86.2,15071,28473,3613,6588,185.8,301.43
1393,1034,254,1570,0,0,66,26,0,0,391,0,0,1365,0,2293,128,43.6,84.4,13291,46922,3606,6900,185.8,301.43
1395,1009,255,1570,0,0,68,25,0,0,389,0,0,1420,0,2274,128,43.2,84.3,14797,39772,3419,6619,185.8,301.43
1251,874,256,1572,0,0,93,27,0,0,363,0,0,1452,0,2146,127,42.3,84.7,13287,38504,3374,6285,185.8,301.43
554,0,240,1570,0,0,99,27,0,0,192,0,0,1583,0,1187,111,31.8,79.3,11979,40836,3452,5900,185.8,301.43
